ticker,stock_name,current_price,market,currency
007660,,128200.0,,KRW
353200,,136300.0,,KRW
328130,,11180.0,,KRW
458870,,38900.0,,KRW
380550,,10340.0,,KRW
011070,,899000.0,,KRW
009150,,2032000.0,,KRW
222800,,131400.0,,KRW
322510,,4725.0,,KRW
035610,,3650.0,,KRW
096530,,29400.0,,KRW
494120,,25100.0,,KRW
010170,,12330.0,,KRW
127120,,37000.0,,KRW
226950,,161800.0,,KRW
445680,,44150.0,,KRW
218410,,59000.0,,KRW
489790,,50900.0,,KRW
010950,,111000.0,,KRW
096770,,96900.0,,KRW
050890,,10650.0,,KRW
078930,,77000.0,,KRW
034730,,709000.0,,KRW
069540,,2045.0,,KRW
024060,,9370.0,,KRW
196170,,362500.0,,KRW
347850,,91300.0,,KRW
950160,,90900.0,,KRW
087010,,181700.0,,KRW
298380,,100200.0,,KRW
028300,,48600.0,,KRW
214450,,376000.0,,KRW
394420,,19160.0,,KRW
290650,,93600.0,,KRW
042520,,25650.0,,KRW
001210,,1232.0,,KRW
078150,,2215.0,,KRW
046890,,10410.0,,KRW
290690,,5190.0,,KRW
095500,,7440.0,,KRW
045660,,7940.0,,KRW
046970,,5280.0,,KRW
094940,,5690.0,,KRW
044380,,953.0,,KRW
049480,,1853.0,,KRW
052710,,24500.0,,KRW
204270,,16900.0,,KRW
025320,,5100.0,,KRW
332570,,5310.0,,KRW
047050,,53000.0,,KRW
001250,,2845.0,,KRW
001120,,38100.0,,KRW
011760,,23200.0,,KRW
290550,,21650.0,,KRW
011810,,3530.0,,KRW
112040,,26000.0,,KRW
123420,,8070.0,,KRW
259960,,248500.0,,KRW
036570,,272000.0,,KRW
101730,,5550.0,,KRW
086520,,90000.0,,KRW
093370,,16070.0,,KRW
051910,,288000.0,,KRW
003670,,167100.0,,KRW
011790,,101700.0,,KRW
068270,,181300.0,,KRW
000250,,212500.0,,KRW
141080,,147500.0,,KRW
065170,,3195.0,,KRW
009420,,64400.0,,KRW
207940,,1436000.0,,KRW
214370,,75300.0,,KRW
194700,,13800.0,,KRW
475150,,55500.0,,KRW
085660,,10750.0,,KRW
376270,,46150.0,,KRW
009830,,36850.0,,KRW
112610,,45850.0,,KRW
322000,,142300.0,,KRW
100090,,16620.0,,KRW
039830,,17370.0,,KRW
900270,,613.0,,KRW
066910,,2140.0,,KRW
002450,,1194.0,,KRW
123750,,2100.0,,KRW
032830,,379000.0,,KRW
088350,,4510.0,,KRW
085620,,20800.0,,KRW
462980,,1567.0,,KRW
082640,,7480.0,,KRW
084670,,30900.0,,KRW
000650,,173800.0,,KRW
403550,,11090.0,,KRW
089860,,31900.0,,KRW
095570,,4190.0,,KRW
018260,,209500.0,,KRW
064400,,80400.0,,KRW
307950,,527000.0,,KRW
486990,,22550.0,,KRW
124500,,22550.0,,KRW
033780,,174700.0,,KRW
064240,,1554.0,,KRW
080420,,1380.0,,KRW
178780,,2500.0,,KRW
002420,,5410.0,,KRW
071840,,6360.0,,KRW
034220,,11490.0,,KRW
191410,,1351.0,,KRW
052330,,11240.0,,KRW
020760,,902.0,,KRW
121800,,3320.0,,KRW
105560,,171700.0,,KRW
024110,,21100.0,,KRW
006220,,10220.0,,KRW
323410,,22050.0,,KRW
279570,,5720.0,,KRW
329180,,608000.0,,KRW
042660,,107400.0,,KRW
010140,,23500.0,,KRW
082740,,53300.0,,KRW
009540,,366500.0,,KRW
006400,,489500.0,,KRW
001820,,131100.0,,KRW
247540,,126000.0,,KRW
066570,,197600.0,,KRW
043260,,22350.0,,KRW
373220,,361000.0,,KRW
115160,,6210.0,,KRW
078890,,4855.0,,KRW
175140,,2570.0,,KRW
008700,,1224.0,,KRW
362320,,4375.0,,KRW
257720,,36100.0,,KRW
069920,,768.0,,KRW
035080,,9040.0,,KRW
012450,,1158000.0,,KRW
053280,,3075.0,,KRW
064350,,201000.0,,KRW
079550,,768000.0,,KRW
347700,,26900.0,,KRW
041510,,79700.0,,KRW
272210,,76200.0,,KRW
352820,,219500.0,,KRW
322780,,2210.0,,KRW
035900,,56500.0,,KRW
122870,,46150.0,,KRW
006340,,13480.0,,KRW
010120,,250500.0,,KRW
178320,,54300.0,,KRW
024840,,5090.0,,KRW
001440,,35100.0,,KRW
034020,,89000.0,,KRW
454910,,86000.0,,KRW
277810,,498500.0,,KRW
319400,,24200.0,,KRW
001000,,1182.0,,KRW
108490,,237000.0,,KRW
034830,,1164.0,,KRW
033560,,3810.0,,KRW
123890,,2220.0,,KRW
094800,,5320.0,,KRW
034230,,15250.0,,KRW
499790,,41200.0,,KRW
006730,,10940.0,,KRW
032350,,16340.0,,KRW
002990,,13040.0,,KRW
025980,,4140.0,,KRW
006360,,30500.0,,KRW
010960,,4540.0,,KRW
039490,,335000.0,,KRW
028050,,51500.0,,KRW
016360,,112300.0,,KRW
001510,,2495.0,,KRW
006800,,41250.0,,KRW
047040,,19340.0,,KRW
005940,,29500.0,,KRW
298020,,289500.0,,KRW
383220,,81900.0,,KRW
111770,,88600.0,,KRW
010130,,1103000.0,,KRW
194370,,12350.0,,KRW
366030,,5770.0,,KRW
295310,,59400.0,,KRW
103140,,67100.0,,KRW
009240,,34000.0,,KRW
079430,,5800.0,,KRW
309930,,712.0,,KRW
006110,,39450.0,,KRW
058430,,5050.0,,KRW
011090,,1084.0,,KRW
415380,,1679.0,,KRW
030960,,5595.0,,KRW
203650,,2220.0,,KRW
030190,,14160.0,,KRW
012750,,75300.0,,KRW
051500,,24000.0,,KRW
004590,,5390.0,,KRW
383310,,29950.0,,KRW
311390,,2540.0,,KRW
250000,,5620.0,,KRW
008730,,15340.0,,KRW
002870,,931.0,,KRW
289170,,2995.0,,KRW
014820,,19570.0,,KRW
009460,,2860.0,,KRW
161890,,122000.0,,KRW
278470,,430000.0,,KRW
251970,,40300.0,,KRW
483650,,248500.0,,KRW
228340,,5090.0,,KRW
090430,,122400.0,,KRW
123330,,28950.0,,KRW
079650,,4015.0,,KRW
023410,,3970.0,,KRW
004980,,9250.0,,KRW
058730,,4100.0,,KRW
038010,,6050.0,,KRW
060260,,1648.0,,KRW
035420,,201000.0,,KRW
035720,,35950.0,,KRW
005750,,4255.0,,KRW
022220,,607.0,,KRW
029530,,40400.0,,KRW
079000,,4665.0,,KRW
376300,,23100.0,,KRW
067160,,49150.0,,KRW
065350,,30650.0,,KRW
487580,,3895.0,,KRW
021240,,100300.0,,KRW
067170,,2565.0,,KRW
009450,,65000.0,,KRW
300080,,7210.0,,KRW
052020,,8390.0,,KRW
063170,,5060.0,,KRW
005880,,1884.0,,KRW
011200,,19520.0,,KRW
102370,,3335.0,,KRW
028670,,4985.0,,KRW
051160,,7130.0,,KRW
003580,,1596.0,,KRW
067900,,6530.0,,KRW
356680,,15050.0,,KRW
477850,,18150.0,,KRW
086960,,2090.0,,KRW
058970,,17680.0,,KRW
086280,,198600.0,,KRW
301300,,1488.0,,KRW
003280,,1647.0,,KRW
034590,,25600.0,,KRW
117580,,6810.0,,KRW
000120,,78100.0,,KRW
004140,,1845.0,,KRW
018670,,220000.0,,KRW
036460,,33550.0,,KRW
004360,,12580.0,,KRW
009070,,4190.0,,KRW
015360,,14280.0,,KRW
215100,,4115.0,,KRW
475580,,8150.0,,KRW
215200,,40800.0,,KRW
461300,,16690.0,,KRW
065710,,44500.0,,KRW
088980,,10020.0,,KRW
005430,,85800.0,,KRW
003100,,18610.0,,KRW
052690,,111700.0,,KRW
051600,,46450.0,,KRW
015760,,39200.0,,KRW
045340,,6270.0,,KRW
089590,,4715.0,,KRW
091810,,756.0,,KRW
020560,,7680.0,,KRW
004020,,28900.0,,KRW
130660,,12250.0,,KRW
092790,,12030.0,,KRW
026940,,2580.0,,KRW
453450,,15700.0,,KRW
026910,,6480.0,,KRW
008970,,1223.0,,KRW
271560,,145200.0,,KRW
003230,,1210000.0,,KRW
097950,,200750.0,,KRW
180640,,133800.0,,KRW
260970,,51800.0,,KRW
003490,,29300.0,,KRW
004370,,368000.0,,KRW
225430,,1701.0,,KRW
317240,,758.0,,KRW
203690,,90.0,,KRW
110020,,1827.0,,KRW
012690,,1448.0,,KRW
030000,,18910.0,,KRW
048550,,1692.0,,KRW
214320,,19140.0,,KRW
273060,,863.0,,KRW
458350,,4195.0,,KRW
000890,,2030.0,,KRW
276730,,21350.0,,KRW
402340,,1667000.0,,KRW
000080,,15240.0,,KRW
028260,,423500.0,,KRW
005300,,104600.0,,KRW
043650,,4020.0,,KRW
001740,,10220.0,,KRW
003550,,100300.0,,KRW
040420,,5760.0,,KRW
005360,,1279.0,,KRW
000810,,632000.0,,KRW
005830,,146400.0,,KRW
000400,,2065.0,,KRW
001450,,36600.0,,KRW
001040,,165500.0,,KRW
041190,,4730.0,,KRW
027360,,4720.0,,KRW
241520,,9170.0,,KRW
246690,,1640.0,,KRW
012330,,501000.0,,KRW
029780,,48900.0,,KRW
204320,,50400.0,,KRW
018880,,3875.0,,KRW
073240,,4850.0,,KRW
003690,,13260.0,,KRW
006490,,310.0,,KRW
032640,,14420.0,,KRW
126640,,4250.0,,KRW
065530,,1120.0,,KRW
036630,,6360.0,,KRW
036000,,2770.0,,KRW
418470,,10070.0,,KRW
100790,,18140.0,,KRW
432430,,2115.0,,KRW
016880,,2080.0,,KRW
122830,,1000.0,,KRW
071320,,67700.0,,KRW
078130,,3670.0,,KRW
213500,,6530.0,,KRW
034810,,6320.0,,KRW
084180,,513.0,,KRW
030200,,54600.0,,KRW
017670,,87900.0,,KRW
009580,,1575.0,,KRW
009200,,1397.0,,KRW
000660,,2411000.0,,KRW
005930,,299000.0,,KRW
036930,,233500.0,,KRW
403870,,46300.0,,KRW
240810,,141800.0,,KRW
005380,,497750.0,,KRW
000270,,147000.0,,KRW
003620,,2935.0,,KRW
080010,,6960.0,,KRW
037710,,41600.0,,KRW
151860,,5660.0,,KRW
001390,,4285.0,,KRW
004170,,751000.0,,KRW
069960,,193500.0,,KRW
023530,,171500.0,,KRW
008770,,52900.0,,KRW
023760,,719.0,,KRW
007330,,10240.0,,KRW
204620,,5080.0,,KRW
038540,,2145.0,,KRW
021880,,136.0,,KRW
